track_id,track_name,album_name,artist_name,release_date,popularity,artist_norm,title_norm,lyrics,tag,year,views,id
1u4HUiREUR6vX1W1RYG2Tm,All Too Well (10 Minute Version) (The Short Film),All Too Well (10 Minute Version) (The Short Film),Taylor Swift,2022-06-11,48,taylor swift,all too well,,,,,
0lx2cLdOt3piJbcaXIV74f,willow,evermore,Taylor Swift,2020-12-11,74,taylor swift,willow,,,,,
0sY6ZUTh4yoctD8VIXz339,champagne problems,evermore,Taylor Swift,2020-12-11,74,taylor swift,champagne problems,,,,,
5BK0uqwY9DNfZ630STAEaq,gold rush,evermore,Taylor Swift,2020-12-11,64,taylor swift,gold rush,,,,,
7dW84mWkdWE5a6lFWxJCBG,‘tis the damn season,evermore,Taylor Swift,2020-12-11,63,taylor swift,‘tis the damn season,,,,,
0PurA4JVJ8YQgSVopY8fn6,tolerate it,evermore,Taylor Swift,2020-12-11,70,taylor swift,tolerate it,,,,,
3RaT22zZsxVYxxKR7TAaYF,"no body, no crime (feat. HAIM)",evermore,Taylor Swift,2020-12-11,62,taylor swift,"no body, no crime",,,,,
73YUReisjb3A9ActdLLjJQ,happiness,evermore,Taylor Swift,2020-12-11,63,taylor swift,happiness,,,,,
670fUmXf4KQekzbEgaXyPA,dorothea,evermore,Taylor Swift,2020-12-11,61,taylor swift,dorothea,,,,,
3k7ne7VmH43ZPWxPdvPUgR,coney island (feat. The National),evermore,Taylor Swift,2020-12-11,58,taylor swift,coney island,,,,,
19CSr8rwW05VJL2F91KFNK,ivy,evermore,Taylor Swift,2020-12-11,64,taylor swift,ivy,,,,,
1XjHRolIXL2M1EEOUsGGR4,cowboy like me,evermore,Taylor Swift,2020-12-11,65,taylor swift,cowboy like me,,,,,
2o2sgVJIgFXk8GQjWTgI6U,long story short,evermore,Taylor Swift,2020-12-11,59,taylor swift,long story short,,,,,
12ntTeqEeTg7GAVpe8Mhpl,marjorie,evermore,Taylor Swift,2020-12-11,62,taylor swift,marjorie,,,,,
35rdVq36LMHQX0Suw9a6tK,closure,evermore,Taylor Swift,2020-12-11,55,taylor swift,closure,,,,,
3O5osWf1rSoKMwe6E9ZaXP,evermore (feat. Bon Iver),evermore,Taylor Swift,2020-12-11,62,taylor swift,evermore,,,,,
5UQ3JrA9kEh7rfwhUS1h0z,The Fate of Ophelia,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,61,taylor swift,the fate of ophelia,,,,,
6virCtlwc98cKYVyeZYXqq,Elizabeth Taylor,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,59,taylor swift,elizabeth taylor,,,,,
0WUwHkIXQY55MLOrw8EM6m,Opalite,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,59,taylor swift,opalite,,,,,
6H0nEKqkTRxa30Pru1h7SD,Father Figure,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,59,taylor swift,father figure,,,,,
6nhsv9Jeluz5gXt592KN3m,Eldest Daughter,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,57,taylor swift,eldest daughter,,,,,
05VwM318oU6aNc1GS4MtLV,Ruin The Friendship,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,58,taylor swift,ruin the friendship,,,,,
6G3dUZrsaOYhe2gRyNukwA,Actually Romantic,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,57,taylor swift,actually romantic,,,,,
6udRZQi3g501XNOcRnE9fo,Wi$h Li$t,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,57,taylor swift,wi$h li$t,,,,,
4Ox858TeUXjy7WEKOcxaFI,Wood,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,57,taylor swift,wood,,,,,
67SmofYg9enUWfcPqUuoVm,CANCELLED!,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,56,taylor swift,cancelled!,,,,,
7jHzBmxAGVVPvLiq4Y45pD,Honey,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,58,taylor swift,honey,,,,,
6EqHzZp61G5uQ12QEiibpT,The Life of a Showgirl (feat. Sabrina Carpenter),The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,57,taylor swift,the life of a showgirl,,,,,
3lcWDG62OH0cH5GHLdT5X4,The Fate of Ophelia - Alone In My Tower Acoustic Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,66,taylor swift,the fate of ophelia,,,,,
4UBWugj5D20ZveyzdGpqvD,Elizabeth Taylor - So Glamorous Cabaret Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,69,taylor swift,elizabeth taylor,,,,,
0Ny2HkSrLtvmBVwCQywyip,Opalite - Life Is A Song Acoustic Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,66,taylor swift,opalite,,,,,
2JHzTARFUispsjZHKhrxxO,Eldest Daughter - Now You’re Home Acoustic Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,64,taylor swift,eldest daughter,,,,,
6hKfPNnVlA2cgTgKj6Vgcw,Ruin The Friendship - My Advice Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,66,taylor swift,ruin the friendship,,,,,
1qwClaxDb5fCrLjXaAmB35,Wi$h Li$t - Settled Down Acoustic Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,68,taylor swift,wi$h li$t,,,,,
2DF2sUvgHFKJ5TQGjm6n3T,The Life of a Showgirl (feat. Sabrina Carpenter) - Dressing Room Rehearsal Version,The Life of a Showgirl + Acoustic Collection,Taylor Swift,2025-11-07,66,taylor swift,the life of a showgirl,,,,,
6PlBKImSl4AZoxBU7F649D,The Fate of Ophelia - Loud Luxury Remix,The Fate of Ophelia (Loud Luxury Remix),Taylor Swift,2025-11-06,67,taylor swift,the fate of ophelia,,,,,
3wXuJTeA7dkrWShvbdUk0A,The Fate of Ophelia,The Fate of Ophelia (Loud Luxury Remix),Taylor Swift,2025-11-06,59,taylor swift,the fate of ophelia,,,,,
5logBAbhpIk9WWOXpUXSCi,The Fate of Ophelia - Alone In My Tower Acoustic Version,The Fate of Ophelia (Loud Luxury Remix),Taylor Swift,2025-11-06,57,taylor swift,the fate of ophelia,,,,,
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),You're Losing Me (From The Vault),Taylor Swift,2023-11-29,74,taylor swift,you’re losing me,,,,,
0yZPIEgco572UWiwoQtcYF,The Life of a Showgirl Intro,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,6,taylor swift,the life of a showgirl intro,,,,,
5k9RjjuYyOMCLL81U8FaHT,The Fate of Ophelia - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,56,taylor swift,the fate of ophelia,,,,,
1dosSsKwYF7hoQA2kuu6wI,The Fate of Ophelia,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,73,taylor swift,the fate of ophelia,,,,,
3r9fAceWmaDFvbNiTnFiLr,Elizabeth Taylor - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,55,taylor swift,elizabeth taylor,,,,,
1A2vZKJZovt4828jwLgiB3,Elizabeth Taylor,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,65,taylor swift,elizabeth taylor,,,,,
5SkuikJwvwfEvNyCepGkq3,Opalite - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,55,taylor swift,opalite,,,,,
67osB3wmJVTFzKhWqPb1Hm,Opalite,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,70,taylor swift,opalite,,,,,
2NGGvVcfb2m2NbVaXHC3gb,Father Figure - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,54,taylor swift,father figure,,,,,
1lD0oPIfSYid1LhPvgrz10,Father Figure,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,63,taylor swift,father figure,,,,,
0wAvTNz81YTUhLFWuWJSAV,Eldest Daughter - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,54,taylor swift,eldest daughter,,,,,
6iC3L3YmAkGucvJbXKDanA,Eldest Daughter,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,59,taylor swift,eldest daughter,,,,,
6NUy8xajng5zMSGJRKniAG,Ruin The Friendship - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,53,taylor swift,ruin the friendship,,,,,
34xxPZWbEyg5iDKEBqdsBZ,Ruin The Friendship,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,57,taylor swift,ruin the friendship,,,,,
6FJemhBlVTGTCgrrrLam3D,Actually Romantic - Track by Track,The Life of a Showgirl (Track by Track Version),Taylor Swift,2025-10-02,53,taylor swift,actually romantic,,,,,
